iter	Passed	Remaining
0	88	88482
1	96	48059
2	104	34885
3	108	27138
4	114	22836
5	118	19688
6	123	17538
7	127	15836
8	130	14400
9	135	13463
10	138	12424
11	142	11715
12	146	11133
13	151	10703
14	156	10269
15	165	10169
16	171	9891
17	179	9800
18	185	9581
19	191	9361
20	195	9119
21	199	8852
22	202	8589
23	205	8357
24	208	8128
25	211	7922
26	216	7796
27	219	7625
28	222	7454
29	225	7299
30	234	7331
31	244	7381
32	249	7322
33	252	7187
34	255	7053
35	258	6926
36	267	6950
37	272	6902
38	276	6804
39	285	6853
40	291	6825
41	300	6860
42	305	6798
43	311	6768
44	316	6717
45	320	6649
46	324	6582
47	330	6548
48	333	6473
49	338	6423
50	341	6348
51	343	6262
52	346	6191
53	349	6126
54	353	6072
55	356	6004
56	366	6065
57	370	6011
58	376	6000
59	381	5977
60	384	5923
61	387	5866
62	391	5818
63	397	5811
64	400	5761
65	404	5720
66	406	5665
67	410	5622
68	413	5578
69	417	5542
70	420	5499
71	424	5465
72	427	5432
73	430	5391
74	433	5350
75	436	5311
76	448	5370
77	452	5350
78	455	5313
79	460	5294
80	465	5278
81	467	5237
82	471	5211
83	476	5195
84	481	5187
85	486	5171
86	490	5146
87	496	5149
88	500	5123
89	503	5093
90	508	5075
91	511	5050
92	514	5021
93	517	4992
94	521	4966
95	524	4936
96	530	4938
97	535	4928
98	539	4907
99	543	4895
100	547	4875
101	551	4856
102	554	4833
103	557	4806
104	560	4778
105	565	4766
106	566	4727
107	567	4690
108	569	4653
109	572	4634
110	577	4626
111	581	4612
112	585	4598
113	589	4582
114	593	4563
115	595	4540
116	601	4543
117	606	4532
118	610	4516
119	612	4492
120	616	4480
121	620	4464
122	626	4465
123	631	4462
124	634	4443
125	641	4452
126	646	4442
127	649	4426
128	654	4419
129	658	4405
130	661	4386
131	665	4376
132	668	4359
133	671	4342
134	675	4329
135	679	4317
136	681	4292
137	686	4286
138	688	4264
139	693	4259
140	697	4247
141	700	4230
142	702	4212
143	706	4199
144	709	4182
145	712	4170
146	716	4159
147	720	4146
148	723	4135
14149	789	447150	729	4102
15151	796	44415152	799	44215153	804	44115154	807	44015155	809	43815156	813	43615157	816	43515158	819	43315159	823	43216160	825	43016161	830	429162	777	3993
163	780	3980
164	783	3963
165	785	3948
166	788	3933
167	791	3920
168	795	3909
169	798	3898
170	802	3890
171	806	3882
172	809	3871
173	812	3857
174	814	3840
175	817	3828
176	820	3815
177	823	3803
178	826	3790
179	828	3776
180	832	3764
181	835	3757
182	839	3745
183	842	3736
184	845	3723
185	848	3714
186	852	3705
187	856	3699
188	859	3689
189	862	3678
190	865	3667
191	868	3655
192	872	3648
193	875	3638
194	879	3631
195	882	3619
196	884	3606
197	888	3600
198	891	3587
199	896	3584
200	901	3582
20201	967	38220202	972	38120203	974	38020204	978	37920205	981	37820206	986	37820207	996	3795
208	1005	3804
209	1009	3795
210	1012	3784
211	1015	3773
212	1018	3762
213	10214	958	214	1024	3742
215	1028	3731
216	1031	3721
217	1035	3712
218	1039	3705
219	1041	36932220	1044	36822221	1047	36223222	1051	3224	223	1054	225	9224	1057226	99225	106227	999226	10228	1002227	1068	3618
228	1079	3635
229	1086	3636
230	1089	3626
231	1092	3615
232	1095	3607
233	1099	3599
234	1103	3590
235	1107	3584
236	1113	3584
237	1117	3578
238	1121	3570
239	1124	3562
240	1129	3556
241	1132	3547
242	1136	3539
243	1141	3535
244	1144	3527
245	1149	3522
246	1153	3516
247	1156	3507
248	1160	3500
249	1164	3494
250	1168	3487
251	1172	3479
252	1175	3471
253	1179	3463
254	1183	3457
255	1186	3448
256	1189	3439
257	1193	3431
258	1197	3425
259	1200	3417
260	1203	3408
261	1207	3400
262	1210	3392
