,SKU,price,note,category,brand,platform
0,Telkomsel 5.000,5990,,Pulsa,Telkomsel,mitra bukalapak
1,Telkomsel 10.000,10650,,Pulsa,Telkomsel,mitra bukalapak
2,Telkomsel 15.000,14950,,Pulsa,Telkomsel,mitra bukalapak
3,Telkomsel 20.000,20185,,Pulsa,Telkomsel,mitra bukalapak
4,Telkomsel 25.000,25025,,Pulsa,Telkomsel,mitra bukalapak
5,Telkomsel 30.000,30075,,Pulsa,Telkomsel,mitra bukalapak
6,Telkomsel 35.000,35490,,Pulsa,Telkomsel,mitra bukalapak
7,Telkomsel 40.000,39940,,Pulsa,Telkomsel,mitra bukalapak
8,Telkomsel 45.000,45450,,Pulsa,Telkomsel,mitra bukalapak
9,Telkomsel 50.000 Eksklusif,50025,,Pulsa,Telkomsel,mitra bukalapak
16,Telkomsel 55.000,55450,,Pulsa,Telkomsel,mitra bukalapak
17,Telkomsel 60.000,60450,,Pulsa,Telkomsel,mitra bukalapak
18,Telkomsel 65.000,65450,,Pulsa,Telkomsel,mitra bukalapak
19,Telkomsel 70.000,70450,,Pulsa,Telkomsel,mitra bukalapak
20,Telkomsel 75.000,75025,,Pulsa,Telkomsel,mitra bukalapak
21,Telkomsel 80.000,80450,,Pulsa,Telkomsel,mitra bukalapak
25,Telkomsel 85.000,85450,,Pulsa,Telkomsel,mitra bukalapak
26,Telkomsel 90.000,90450,,Pulsa,Telkomsel,mitra bukalapak
27,Telkomsel 95.000,95450,,Pulsa,Telkomsel,mitra bukalapak
28,Telkomsel 100.000,99320,,Pulsa,Telkomsel,mitra bukalapak
29,Telkomsel 150.000,150745,,Pulsa,Telkomsel,mitra bukalapak
30,Telkomsel 200.000,199085,,Pulsa,Telkomsel,mitra bukalapak
31,Telkomsel 300.000,298050,,Pulsa,Telkomsel,mitra bukalapak
32,Telkomsel 500.000,499150,,Pulsa,Telkomsel,mitra bukalapak
36,Telkomsel 1.000.000,997450,Sedang Gangguan,Pulsa,Telkomsel,mitra bukalapak
0,XL 5.000,5998,,Pulsa,Xl,mitra bukalapak
1,XL 10.000,11065,,Pulsa,Xl,mitra bukalapak
2,XL 15.000,15450,,Pulsa,Xl,mitra bukalapak
3,XL 25.000,24990,,Pulsa,Xl,mitra bukalapak
4,XL 30.000,30270,,Pulsa,Xl,mitra bukalapak
5,XL 50.000,50035,,Pulsa,Xl,mitra bukalapak
6,XL 100.000,99800,,Pulsa,Xl,mitra bukalapak
7,XL 150.000,149550,,Pulsa,Xl,mitra bukalapak
8,XL 200.000,199600,,Pulsa,Xl,mitra bukalapak
15,XL 300.000,299490,,Pulsa,Xl,mitra bukalapak
16,XL 500.000,503400,,Pulsa,Xl,mitra bukalapak
17,XL 1.000.000,999830,,Pulsa,Xl,mitra bukalapak
0,Axis 5.000,5998,,Pulsa,Axis,mitra bukalapak
1,Axis 10.000,11065,,Pulsa,Axis,mitra bukalapak
2,Axis 15.000,15450,,Pulsa,Axis,mitra bukalapak
3,Axis 25.000,24990,,Pulsa,Axis,mitra bukalapak
4,Axis 30.000,30270,,Pulsa,Axis,mitra bukalapak
5,Axis 50.000,50035,,Pulsa,Axis,mitra bukalapak
6,Axis 100.000,99800,,Pulsa,Axis,mitra bukalapak
10,Axis 200.000,199600,,Pulsa,Axis,mitra bukalapak
11,Axis 300.000,299490,,Pulsa,Axis,mitra bukalapak
12,Axis 500.000,503400,,Pulsa,Axis,mitra bukalapak
13,Axis 1.000.000,999830,,Pulsa,Axis,mitra bukalapak
0,Indosat 5.000,5990,,Pulsa,Indosat,mitra bukalapak
1,Indosat 10.000,10990,,Pulsa,Indosat,mitra bukalapak
2,Indosat 12.000,11990,,Pulsa,Indosat,mitra bukalapak
3,Indosat 15.000,14990,,Pulsa,Indosat,mitra bukalapak
4,Indosat 20.000,20150,,Pulsa,Indosat,mitra bukalapak
5,Indosat 25.000,24875,,Pulsa,Indosat,mitra bukalapak
10,Indosat 30.000,29800,,Pulsa,Indosat,mitra bukalapak
11,Indosat 40.000,39590,,Pulsa,Indosat,mitra bukalapak
12,Indosat 50.000,49550,,Pulsa,Indosat,mitra bukalapak
13,Indosat 60.000,59300,,Pulsa,Indosat,mitra bukalapak
14,Indosat 70.000,68750,,Pulsa,Indosat,mitra bukalapak
15,Indosat 80.000,79100,,Pulsa,Indosat,mitra bukalapak
16,Indosat 100.000,99000,,Pulsa,Indosat,mitra bukalapak
17,Indosat 125.000,123750,,Pulsa,Indosat,mitra bukalapak
25,Indosat 150.000,146500,,Pulsa,Indosat,mitra bukalapak
26,Indosat 200.000,192500,,Pulsa,Indosat,mitra bukalapak
27,Indosat 250.000,245000,,Pulsa,Indosat,mitra bukalapak
28,Indosat 500.000,488000,,Pulsa,Indosat,mitra bukalapak
37,Indosat 1.000.000,975000,,Pulsa,Indosat,mitra bukalapak
0,Tri 1.000,1350,,Pulsa,Tri,mitra bukalapak
1,Tri 2.000,2320,,Pulsa,Tri,mitra bukalapak
2,Tri 3.000,3350,,Pulsa,Tri,mitra bukalapak
3,Tri 5.000,5820,,Pulsa,Tri,mitra bukalapak
4,Tri 8.000,8650,,Pulsa,Tri,mitra bukalapak
10,Tri 10.000,10600,,Pulsa,Tri,mitra bukalapak
11,Tri 15.000,15300,,Pulsa,Tri,mitra bukalapak
12,Tri 20.000,20280,,Pulsa,Tri,mitra bukalapak
13,Tri 25.000,25080,,Pulsa,Tri,mitra bukalapak
14,Tri 30.000,30540,,Pulsa,Tri,mitra bukalapak
15,Tri 40.000,39950,,Pulsa,Tri,mitra bukalapak
21,Tri 50.000,50120,,Pulsa,Tri,mitra bukalapak
22,Tri 60.000,59450,,Pulsa,Tri,mitra bukalapak
23,Tri 70.000,69500,,Pulsa,Tri,mitra bukalapak
24,Tri 75.000,74250,,Pulsa,Tri,mitra bukalapak
25,Tri 80.000,79250,,Pulsa,Tri,mitra bukalapak
26,Tri 90.000,89500,,Pulsa,Tri,mitra bukalapak
32,Tri 100.000,100480,,Pulsa,Tri,mitra bukalapak
33,Tri 125.000,123750,,Pulsa,Tri,mitra bukalapak
34,Tri 150.000,149210,,Pulsa,Tri,mitra bukalapak
35,Tri 200.000,198790,,Pulsa,Tri,mitra bukalapak
36,Tri 250.000,247250,,Pulsa,Tri,mitra bukalapak
37,Tri 300.000,297930,,Pulsa,Tri,mitra bukalapak
47,Tri 500.000,496230,,Pulsa,Tri,mitra bukalapak
0,Smartfren 5.000,5400,,Pulsa,Smartfren,mitra bukalapak
1,Smartfren 10.000,10250,,Pulsa,Smartfren,mitra bukalapak
2,Smartfren 12.000,12070,,Pulsa,Smartfren,mitra bukalapak
3,Smartfren 20.000,19950,,Pulsa,Smartfren,mitra bukalapak
8,Smartfren 25.000,25000,,Pulsa,Smartfren,mitra bukalapak
9,Smartfren 30.000,29750,,Pulsa,Smartfren,mitra bukalapak
10,Smartfren 35.000,34750,,Pulsa,Smartfren,mitra bukalapak
11,Smartfren 40.000,39780,,Pulsa,Smartfren,mitra bukalapak
12,Smartfren 45.000,44750,,Pulsa,Smartfren,mitra bukalapak
13,Smartfren 50.000,49500,,Pulsa,Smartfren,mitra bukalapak
17,Smartfren 55.000,54500,,Pulsa,Smartfren,mitra bukalapak
18,Smartfren 60.000,59500,,Pulsa,Smartfren,mitra bukalapak
19,Smartfren 65.000,64505,,Pulsa,Smartfren,mitra bukalapak
20,Smartfren 85.000,83740,,Pulsa,Smartfren,mitra bukalapak
21,Smartfren 90.000,88240,,Pulsa,Smartfren,mitra bukalapak
22,Smartfren 95.000,93340,,Pulsa,Smartfren,mitra bukalapak
23,Smartfren 100.000,99000,,Pulsa,Smartfren,mitra bukalapak
24,Smartfren 150.000,149000,,Pulsa,Smartfren,mitra bukalapak
33,Smartfren 200.000,198000,,Pulsa,Smartfren,mitra bukalapak
34,Smartfren 300.000,299750,,Pulsa,Smartfren,mitra bukalapak
35,Smartfren 500.000,499500,,Pulsa,Smartfren,mitra bukalapak
0,"Telkomsel Data Flash 1GB, 30Hr",22400,,Paket Data,Telkomsel,mitra bukalapak
1,Paket Bicara Telkomsel 25.000,24900,,Paket Data,Telkomsel,mitra bukalapak
2,PAKET BICARA SEMUA OPERATOR 7HARI,24900,,Paket Data,Telkomsel,mitra bukalapak
3,"Telkomsel Data Flash 2GB, 7 Hr",47250,Sedang Gangguan,Paket Data,Telkomsel,mitra bukalapak
4,"Telkomsel Data Flash 2GB, 30 Hr",47250,,Paket Data,Telkomsel,mitra bukalapak
5,Telkomsel Data Flash 3GB,50450,,Paket Data,Telkomsel,mitra bukalapak
6,PAKET INTERNET BULANAN OMG! 55K,54990,,Paket Data,Telkomsel,mitra bukalapak
7,Telkomsel Data Flash 4GB,69500,,Paket Data,Telkomsel,mitra bukalapak
8,Paket Bicara 100 menit,7750,,Paket Data,Telkomsel,mitra bukalapak
11,"Telkomsel Data Flash 500MB, 7Hr",9500,,Paket Data,Telkomsel,mitra bukalapak
12,PAKET BICARA SEMUA OPERATOR 1HARI,11500,,Paket Data,Telkomsel,mitra bukalapak
13,"Telkomsel Data Flash 750MB, 7Hr",17500,,Paket Data,Telkomsel,mitra bukalapak
14,PAKET DATA ZOOM 1 HARI,15125,,Paket Data,Telkomsel,mitra bukalapak
15,PAKET INTERNET HARIAN 20K 1 HARI,20525,,Paket Data,Telkomsel,mitra bukalapak
16,PAKET BICARA SEMUA OPERATOR 3HARI,24500,,Paket Data,Telkomsel,mitra bukalapak
17,Paket Bicara 380 menit,24450,,Paket Data,Telkomsel,mitra bukalapak
18,MusicMAX Smule,26000,,Paket Data,Telkomsel,mitra bukalapak
