,SKU,price,brand,type,note
0,Axis 5.000 ,5.990,Axis,Pulsa,Masa Aktif 7 Hari 
1,Axis 5.000 ,6.120,Axis,Pulsa,Bonus sd 1GB di aplikasi AXISnet (Masa berlaku bonus 1 hari)
2,Axis 10.000 ,10.970,Axis,Pulsa,Masa Aktif 15 Hari 
3,Axis 10.000 ,11.082,Axis,Pulsa,Bonus sd 2GB di aplikasi AXISnet (Masa berlaku bonus 3 hari)
4,Axis 15.000 ,15.100,Axis,Pulsa,Bonus sd 3GB di aplikasi AXISnet (Masa berlaku bonus 3 hari)
5,Axis 25.000 ,25.050,Axis,Pulsa,Bonus sd 5GB di aplikasi AXISnet (Masa berlaku bonus 3 hari)
6,Axis 30.000 ,29.990,Axis,Pulsa,Bonus sd 5GB di AXISnet (Masa berlaku bonus 3 hari)
7,Axis 50.000 ,49.990,Axis,Pulsa,Bonus sd 3GB di aplikasi AXISnet (Masa berlaku bonus 3 hari)
8,Axis 100.000 ,99.500,Axis,Pulsa,Bonus sd 5GB di aplikasi AXISnet(Masa berlaku bonus 3 hari)
9,Axis 200.000 ,199.000,Axis,Pulsa,Bonus sd 5GB di aplikasi AXISnet (Masa berlaku bonus 3 hari)
10,Axis 300.000 ,298.550,Axis,Pulsa,Bonus sd 5GB di aplikasi AXISnet (Masa berlaku bonus 3 hari)
0,By U 5 000 Tidak,5.915,ByU,Pulsa,
1,By U 10 000 Tidak,10.715,ByU,Pulsa,
2,By U 15 000 Tidak,16.065,ByU,Pulsa,
3,By U 20 000 Tidak,21.065,ByU,Pulsa,
4,By U 25 000 Tidak,25.565,ByU,Pulsa,
5,By U 30 000 Tidak,30.565,ByU,Pulsa,
6,By U 35 000 Tidak,35.515,ByU,Pulsa,
7,By U 40 000 Tidak,40.565,ByU,Pulsa,
8,By U 45 000 Tidak,45.515,ByU,Pulsa,
9,By U 50 000 Tidak,50.565,ByU,Pulsa,
10,By U 55 000 Tidak,55.515,ByU,Pulsa,
11,By U 60 000 Tidak,60.515,ByU,Pulsa,
12,By U 65 000 Tidak,65.515,ByU,Pulsa,
13,By U 70 000 Tidak,70.515,ByU,Pulsa,
14,By U 75 000 Tidak,75.565,ByU,Pulsa,
15,By U 80 000 Tidak,80.515,ByU,Pulsa,
16,By U 85 000 Tidak,85.515,ByU,Pulsa,
17,By U 90 000 Tidak,90.515,ByU,Pulsa,
18,By U 95 000 Tidak,95.515,ByU,Pulsa,
19,By U 100 000 Tidak,100.815,ByU,Pulsa,
0,Indosat 5.000 ,6.085,Indosat,Pulsa,Masa Aktif 7 Hari 
1,Indosat 10.000 ,11.195,Indosat,Pulsa,Masa Aktif 15 Hari 
2,Indosat 12.000 ,11.990,Indosat,Pulsa,Masa Aktif 15 Hari 
3,Indosat 15.000 ,15.085,Indosat,Pulsa,Masa Aktif 20 Hari
4,Indosat 20.000 ,20.029,Indosat,Pulsa,Masa Aktif 30 Hari
5,Indosat 25.000 ,24.995,Indosat,Pulsa,Masa Aktif 30 Hari
6,Indosat 30.000 ,29.720,Indosat,Pulsa,Masa Aktif 30 Hari
7,Indosat 40.000 ,40.030,Indosat,Pulsa,Masa Aktif 30 Hari
8,Indosat 50.000 ,49.150,Indosat,Pulsa,Masa Aktif 45 Hari
9,Indosat 60.000 ,59.205,Indosat,Pulsa,Masa  Aktif 60 Hari
10,Indosat 70.000 ,69.045,Indosat,Pulsa,Masa  Aktif 60 Hari
11,Indosat 80.000 ,78.805,Indosat,Pulsa,Masa  Aktif 60 Hari
12,Indosat 90.000 ,89.060,Indosat,Pulsa,Masa  Aktif 60 Hari
13,Indosat 100.000 ,96.715,Indosat,Pulsa,Masa Aktif 60 Hari
14,Indosat 125.000 ,123.800,Indosat,Pulsa,Masa Aktif 75 Hari
15,Indosat 150.000 ,143.900,Indosat,Pulsa,Masa Aktif 90 Hari
16,Indosat 200.000 ,187.520,Indosat,Pulsa,Masa Aktif 45 Hari
17,Indosat 250.000 ,235.175,Indosat,Pulsa,Masa Aktif 120 Hari
0,Smart DC Smartfren 5 000,5.200,Smart,Pulsa,Masa Aktif 7 Hari
1,Smartfren 20.000 ,19.840,Smart,Pulsa,Masa Aktif 30 Hari
0,Telkomsel 2.000 ,3.660,Telkomsel,Pulsa,Masa Aktif 1 Hari  (Berlaku Zonasi).Silahkan cek di *363*46#
