,SKU,price,category,brand
0,Axis 5000,5875,Pulsa,AXIS
1,Axis 10000,10825,Pulsa,AXIS
2,Axis 15.000,14900,Pulsa,AXIS
3,Axis 25.000,24900,Pulsa,AXIS
4,Axis 30.000,29900,Pulsa,AXIS
6,Axis 50.000,49700,Pulsa,AXIS
11,Axis 100.000,99500,Pulsa,AXIS
12,Axis 200.000,199000,Pulsa,AXIS
13,Axis 300.000,298750,Pulsa,AXIS
14,AXIS 500.000,498800,Pulsa,AXIS
21,AXIS 1.000.000,995000,Pulsa,AXIS
0,Indosat 5000,5760,Pulsa,INDOSAT
1,Indosat 10000,10690,Pulsa,INDOSAT
2,Indosat 12000,11990,Pulsa,INDOSAT
3,Indosat 15.000,15000,Pulsa,INDOSAT
4,Indosat 20.000,19730,Pulsa,INDOSAT
6,INDOSAT 25.000,24725,Pulsa,INDOSAT
12,Indosat 30.000,29430,Pulsa,INDOSAT
13,INDOSAT 50.000,48800,Pulsa,INDOSAT
20,Indosat 60.000,58750,Pulsa,INDOSAT
21,Indosat 80.000,78050,Pulsa,INDOSAT
22,INDOSAT 100.000,96700,Pulsa,INDOSAT
29,Indosat 125.000,123500,Pulsa,INDOSAT
30,INDOSAT 150.000,143900,Pulsa,INDOSAT
37,INDOSAT 200.000,187540,Pulsa,INDOSAT
38,INDOSAT 250.000,234900,Pulsa,INDOSAT
44,INDOSAT 500.000,469900,Pulsa,INDOSAT
45,INDOSAT 1.000.000,959900,Pulsa,INDOSAT
0,Smartfren 5.000,5200,Pulsa,SMARTFREN
1,Smartfren 10.000,10050,Pulsa,SMARTFREN
2,Smartfren 20.000,19825,Pulsa,SMARTFREN
3,Smartfren 25.000,24800,Pulsa,SMARTFREN
4,Smartfren 30.000,30000,Pulsa,SMARTFREN
5,Smartfren 50.000,49200,Pulsa,SMARTFREN
6,Smartfren 60.000,58850,Pulsa,SMARTFREN
11,Smartfren 75.000,74525,Pulsa,SMARTFREN
12,Smartfren 100.000,98200,Pulsa,SMARTFREN
13,Smartfren 150.000,147200,Pulsa,SMARTFREN
14,Smartfren 200.000,197000,Pulsa,SMARTFREN
20,Smartfren 300.000,294600,Pulsa,SMARTFREN
21,Smartfren 500.000,492200,Pulsa,SMARTFREN
22,Smartfren 1.000.000,984900,Pulsa,SMARTFREN
0,Telkomsel 1.000,1700,Pulsa,Telkomsel
1,Telkomsel 2.000,2800,Pulsa,Telkomsel
2,Telkomsel 3.000,4850,Pulsa,Telkomsel
3,Telkomsel 5000,5250,Pulsa,Telkomsel
4,Telkomsel 10000,10350,Pulsa,Telkomsel
6,Telkomsel 15.000,14900,Pulsa,Telkomsel
13,Telkomsel 20000,19890,Pulsa,Telkomsel
14,Telkomsel 25.000,24875,Pulsa,Telkomsel
19,Telkomsel 30.000,29875,Pulsa,Telkomsel
21,Telkomsel 35.000,34950,Pulsa,Telkomsel
22,Telkomsel 40.000,39800,Pulsa,Telkomsel
29,Telkomsel 45.000,44950,Pulsa,Telkomsel
