,product_value,price,SKU,brand,category,5,discount,note,platform
8,98500,100000,Rp98.200,smartfren,Pulsa,,,,mitra tokopedia
0,5395,5000,Rp5.300,telkomsel,Pulsa,Promo,,,mitra tokopedia
3,10390,10000,Rp10.350,telkomsel,Pulsa,,,,mitra tokopedia
7,19900,20000,Rp19.890,telkomsel,Pulsa,,,,mitra tokopedia
9,49850,Promo,,telkomsel,Pulsa,,,,mitra tokopedia
4,49850,50000,Rp49.670,telkomsel,Pulsa,,,,mitra tokopedia
8,65500,65000,Rp65.200,telkomsel,Pulsa,,,,mitra tokopedia
10,70500,70000,Rp70.200,telkomsel,Pulsa,,,,mitra tokopedia
9,80500,80000,Rp80.200,telkomsel,Pulsa,,,,mitra tokopedia
11,85500,85000,Rp85.200,telkomsel,Pulsa,,,,mitra tokopedia
8,95500,95000,Rp95.200,telkomsel,Pulsa,,,,mitra tokopedia
4,19800,20000,Rp19.725,im3,Pulsa,,,,mitra tokopedia
8,24850,25000,Rp24.700,im3,Pulsa,,,,mitra tokopedia
6,96900,100000,Rp96.700,im3,Pulsa,,,,mitra tokopedia
3,24850,25000,Rp24.820,xl,Pulsa,,,,mitra tokopedia
8,99500,100000,Rp99.300,xl,Pulsa,,,,mitra tokopedia
5,49850,50000,Rp49.625,axis,Pulsa,,,,mitra tokopedia
8,99500,100000,Rp99.300,axis,Pulsa,,,,mitra tokopedia
0,15000,10000,Kuota 4GB,smartfren,Paket Data,,33.33%,Promo,mitra tokopedia
2,25000,24850,Unlimited 25RB,smartfren,Paket Data,,0.6%,Promo,mitra tokopedia
4,35000,34750,Unlimited Nonstop 8GB,smartfren,Paket Data,,0.71%,Promo,mitra tokopedia
6,,4975,Combo 1GB 1Hr,smartfren,Paket Data,,,,mitra tokopedia
7,,7980,Combo 1GB 7Hr,smartfren,Paket Data,,,,mitra tokopedia
8,,19700,Kuota 6GB,smartfren,Paket Data,,,,mitra tokopedia
9,,22400,Kuota 18GB,smartfren,Paket Data,,,,mitra tokopedia
10,,29350,Kuota 10GB,smartfren,Paket Data,,,,mitra tokopedia
5,,39500,Kuota 16GB,smartfren,Paket Data,,,,mitra tokopedia
6,,44590,Unlimited 45RB,smartfren,Paket Data,,,,mitra tokopedia
7,,49700,Unlimited Nonstop 12GB,smartfren,Paket Data,,,,mitra tokopedia
5,,58500,Kuota 30GB,smartfren,Paket Data,,,,mitra tokopedia
6,,64300,Unlimited 65rb,smartfren,Paket Data,,,,mitra tokopedia
7,,68500,Unlimited Nonstop 30GB,smartfren,Paket Data,,,,mitra tokopedia
8,,79400,Unlimited 80RB,smartfren,Paket Data,,,,mitra tokopedia
5,,79900,Plan Smartfren Kuota 2L,smartfren,Paket Data,,,,mitra tokopedia
6,,96500,Kuota 60GB,smartfren,Paket Data,,,,mitra tokopedia
7,,97500,Unlimited Nonstop 45GB,smartfren,Paket Data,,,,mitra tokopedia
8,,98500,Super 4G Unlimited Bulanan 100K,smartfren,Paket Data,,,,mitra tokopedia
5,,113500,Plan Smartfren Kuota 3L,smartfren,Paket Data,,,,mitra tokopedia
6,,124500,Unlimited Nonstop 60GB,smartfren,Paket Data,,,,mitra tokopedia
7,,134500,Plan Smartfren Kuota 4L,smartfren,Paket Data,,,,mitra tokopedia
5,,146000,Kuota 90GB,smartfren,Paket Data,,,,mitra tokopedia
