,product_value,base_price,disc_price,platform
1,10.000,Rp10.100,,mitra tokopedia
2,20.000,Rp19.850,,mitra tokopedia
3,25.000,Rp24.850,,mitra tokopedia
4,30.000,Rp29.800,,mitra tokopedia
5,50.000,Rp49.200,,mitra tokopedia
5,60.000,Rp59.500,,mitra tokopedia
6,75.000,Rp74.500,,mitra tokopedia
7,100.000,Rp98.500,,mitra tokopedia
8,150.000,Rp148.900,,mitra tokopedia
5,200.000,Rp197.900,,mitra tokopedia
6,300.000,Rp295.000,,mitra tokopedia
7,500.000,Rp496.500,,mitra tokopedia
8,1.000.000,Rp989.000,,mitra tokopedia
0,5.000,Rp5.300,Rp5.240,mitra tokopedia
2,5.000,Rp5.395,,mitra tokopedia
3,10.000,Rp10.390,Rp10.350,mitra tokopedia
5,10.000,Rp10.390,,mitra tokopedia
6,15.000,Rp14.850,,mitra tokopedia
7,20.000,Rp19.900,Rp19.850,mitra tokopedia
9,20.000,Rp19.950,,mitra tokopedia
8,25.000,Rp24.875,Rp24.865,mitra tokopedia
10,25.000,Rp24.950,,mitra tokopedia
11,30.000,Rp29.900,,mitra tokopedia
6,35.000,Rp35.375,,mitra tokopedia
7,40.000,Rp40.000,,mitra tokopedia
8,45.000,Rp45.350,,mitra tokopedia
9,50.000,Rp49.850,,mitra tokopedia
5,60.000,Rp60.500,,mitra tokopedia
6,65.000,Rp65.500,,mitra tokopedia
7,70.000,Rp70.500,,mitra tokopedia
8,75.000,Rp73.600,,mitra tokopedia
5,80.000,Rp80.500,,mitra tokopedia
6,85.000,Rp85.500,,mitra tokopedia
7,90.000,Rp90.500,,mitra tokopedia
8,95.000,Rp95.500,,mitra tokopedia
4,100.000,Rp98.500,Rp98.000,mitra tokopedia
7,150.000,Rp149.000,,mitra tokopedia
8,200.000,Rp197.900,Rp196.950,mitra tokopedia
4,300.000,Rp298.200,,mitra tokopedia
5,500.000,Rp499.000,,mitra tokopedia
6,1.000.000,Rp997.300,,mitra tokopedia
0,5.000,Rp5.860,Rp5.750,mitra tokopedia
2,5.000,Rp5.860,,mitra tokopedia
3,10.000,Rp10.850,,mitra tokopedia
4,12.000,Rp11.990,,mitra tokopedia
5,15.000,Rp15.000,,mitra tokopedia
0,5.000,Rp5.750,,mitra tokopedia
5,20.000,Rp19.800,Rp19.725,mitra tokopedia
7,40.000,Rp39.800,,mitra tokopedia
8,50.000,Rp48.800,,mitra tokopedia
9,60.000,Rp59.350,,mitra tokopedia
5,80.000,Rp78.800,,mitra tokopedia
6,90.000,Rp90.000,,mitra tokopedia
7,100.000,Rp96.900,Rp96.700,mitra tokopedia
9,100.000,Rp96.900,,mitra tokopedia
7,115.000,Rp113.500,,mitra tokopedia
8,125.000,Rp123.500,,mitra tokopedia
9,150.000,Rp143.900,,mitra tokopedia
4,200.000,Rp192.500,,mitra tokopedia
5,250.000,Rp239.000,,mitra tokopedia
6,500.000,Rp489.900,,mitra tokopedia
0,5.000,Rp5.900,Rp5.875,mitra tokopedia
2,5.000,Rp5.900,,mitra tokopedia
3,10.000,Rp10.820,,mitra tokopedia
4,15.000,Rp14.950,Rp14.895,mitra tokopedia
6,15.000,Rp14.950,,mitra tokopedia
7,30.000,Rp30.000,,mitra tokopedia
9,100.000,Rp99.500,Rp99.300,mitra tokopedia
6,100.000,Rp99.500,,mitra tokopedia
7,150.000,Rp149.550,,mitra tokopedia
8,200.000,Rp199.000,,mitra tokopedia
9,300.000,Rp298.250,,mitra tokopedia
3,500.000,Rp498.000,,mitra tokopedia
4,1.000.000,Rp996.000,,mitra tokopedia
0,5.000,Rp5.900,Rp5.875,mitra tokopedia
7,25.000,Rp24.875,,mitra tokopedia
9,50.000,Rp49.700,,mitra tokopedia
9,300.000,Rp298.750,,mitra tokopedia
1,2.000,Rp2.350,,mitra tokopedia
2,3.000,Rp3.350,,mitra tokopedia
3,5.000,Rp5.570,,mitra tokopedia
4,8.000,Rp8.600,,mitra tokopedia
5,10.000,Rp10.450,,mitra tokopedia
5,15.000,Rp14.975,,mitra tokopedia
7,25.000,Rp24.750,,mitra tokopedia
6,50.000,Rp49.500,,mitra tokopedia
7,60.000,Rp60.000,,mitra tokopedia
8,70.000,Rp69.450,,mitra tokopedia
7,80.000,Rp79.900,,mitra tokopedia
8,90.000,Rp90.200,,mitra tokopedia
4,100.000,Rp98.900,,mitra tokopedia
5,125.000,Rp124.000,,mitra tokopedia
6,150.000,Rp147.520,,mitra tokopedia
7,200.000,Rp197.500,,mitra tokopedia
8,250.000,Rp247.500,,mitra tokopedia
7,300.000,Rp297.500,,mitra tokopedia
8,500.000,Rp496.000,,mitra tokopedia
