,SKU,product_value,base_price,disc_price,disc_rate,brand,category,note
1,,10.000,Rp10.100,,,smartfren,Pulsa,
2,,20.000,Rp19.850,,,smartfren,Pulsa,
3,,25.000,Rp24.850,,,smartfren,Pulsa,
4,,30.000,Rp29.800,,,smartfren,Pulsa,
5,,50.000,Rp49.200,,,smartfren,Pulsa,
4,,60.000,Rp59.500,,,smartfren,Pulsa,
5,,75.000,Rp74.500,,,smartfren,Pulsa,
6,,100.000,Rp98.500,,,smartfren,Pulsa,
7,,150.000,Rp148.900,,,smartfren,Pulsa,
8,,200.000,Rp197.900,,,smartfren,Pulsa,
5,,300.000,Rp295.000,,,smartfren,Pulsa,
6,,500.000,Rp496.500,,,smartfren,Pulsa,
7,,1.000.000,Rp989.000,,,smartfren,Pulsa,
0,,5.000,Rp5.300,Rp5.240,,telkomsel,Pulsa,
2,,5.000,Rp5.395,,,telkomsel,Pulsa,
3,,10.000,Rp10.390,Rp10.350,,telkomsel,Pulsa,
5,,10.000,Rp10.390,,,telkomsel,Pulsa,
6,,15.000,Rp14.850,,,telkomsel,Pulsa,
4,,20.000,Rp19.900,Rp19.850,,telkomsel,Pulsa,
7,,25.000,Rp24.875,Rp24.865,,telkomsel,Pulsa,
9,,25.000,Rp24.950,,,telkomsel,Pulsa,
10,,30.000,Rp29.900,,,telkomsel,Pulsa,
0,,20.000,Rp19.850,,,telkomsel,Pulsa,
6,,35.000,Rp35.375,,,telkomsel,Pulsa,
8,,45.000,Rp45.350,,,telkomsel,Pulsa,
9,,50.000,Rp49.850,,,telkomsel,Pulsa,
5,,60.000,Rp60.500,,,telkomsel,Pulsa,
6,,65.000,Rp65.500,,,telkomsel,Pulsa,
7,,70.000,Rp70.500,,,telkomsel,Pulsa,
8,,75.000,Rp73.600,,,telkomsel,Pulsa,
3,,80.000,Rp80.500,,,telkomsel,Pulsa,
4,,85.000,Rp85.500,,,telkomsel,Pulsa,
5,,90.000,Rp90.500,,,telkomsel,Pulsa,
6,,95.000,Rp95.500,,,telkomsel,Pulsa,
7,,100.000,Rp98.500,Rp98.000,,telkomsel,Pulsa,
