,SKU,base_price,disc_price,brand,category,note,platform
0,5.000,Rp5.200,,smartfren,Pulsa,,tokopedia
1,10.000,Rp10.100,,smartfren,Pulsa,,tokopedia
2,20.000,Rp19.850,,smartfren,Pulsa,,tokopedia
3,25.000,Rp24.850,,smartfren,Pulsa,,tokopedia
4,30.000,Rp29.750,,smartfren,Pulsa,,tokopedia
5,50.000,Rp49.225,,smartfren,Pulsa,,tokopedia
5,60.000,Rp59.500,,smartfren,Pulsa,,tokopedia
6,75.000,Rp74.500,,smartfren,Pulsa,,tokopedia
7,100.000,Rp98.500,,smartfren,Pulsa,,tokopedia
6,150.000,Rp148.000,,smartfren,Pulsa,,tokopedia
7,200.000,Rp197.900,,smartfren,Pulsa,,tokopedia
8,300.000,Rp295.200,,smartfren,Pulsa,,tokopedia
6,500.000,Rp496.500,,smartfren,Pulsa,,tokopedia
7,1.000.000,Rp989.000,,smartfren,Pulsa,,tokopedia
0,5.000,Rp5.325,,telkomsel,Pulsa,,tokopedia
1,10.000,Rp10.220,,telkomsel,Pulsa,,tokopedia
2,15.000,Rp14.850,,telkomsel,Pulsa,,tokopedia
3,20.000,Rp19.890,,telkomsel,Pulsa,,tokopedia
4,25.000,Rp24.950,,telkomsel,Pulsa,,tokopedia
5,30.000,Rp29.860,,telkomsel,Pulsa,,tokopedia
6,35.000,Rp34.990,,telkomsel,Pulsa,,tokopedia
7,40.000,Rp39.500,,telkomsel,Pulsa,,tokopedia
6,45.000,Rp44.990,,telkomsel,Pulsa,,tokopedia
7,50.000,Rp49.700,,telkomsel,Pulsa,,tokopedia
5,60.000,Rp59.990,,telkomsel,Pulsa,,tokopedia
6,65.000,Rp65.500,,telkomsel,Pulsa,,tokopedia
7,70.000,Rp69.990,,telkomsel,Pulsa,,tokopedia
5,75.000,Rp73.400,,telkomsel,Pulsa,,tokopedia
6,80.000,Rp80.500,,telkomsel,Pulsa,,tokopedia
7,85.000,Rp85.500,,telkomsel,Pulsa,,tokopedia
6,90.000,Rp89.990,,telkomsel,Pulsa,,tokopedia
7,95.000,Rp95.500,,telkomsel,Pulsa,,tokopedia
7,100.000,Rp98.500,,telkomsel,Pulsa,,tokopedia
8,150.000,Rp149.000,,telkomsel,Pulsa,,tokopedia
7,200.000,Rp197.000,,telkomsel,Pulsa,,tokopedia
10,300.000,Rp298.200,,telkomsel,Pulsa,,tokopedia
8,500.000,Rp499.000,,telkomsel,Pulsa,,tokopedia
9,1.000.000,Rp997.300,,telkomsel,Pulsa,,tokopedia
0,0.18%,Rp297.650,Rp298.200,telkomsel,Pulsa,Lihat Detail,tokopedia
0,5.000,Rp5.850,,im3,Pulsa,,tokopedia
1,10.000,Rp10.975,,im3,Pulsa,,tokopedia
2,12.000,Rp11.990,,im3,Pulsa,,tokopedia
3,15.000,Rp14.980,,im3,Pulsa,,tokopedia
4,20.000,Rp19.940,,im3,Pulsa,,tokopedia
5,25.000,Rp24.920,,im3,Pulsa,,tokopedia
6,30.000,Rp29.700,,im3,Pulsa,,tokopedia
7,40.000,Rp39.800,,im3,Pulsa,,tokopedia
5,50.000,Rp49.200,,im3,Pulsa,,tokopedia
6,60.000,Rp59.300,,im3,Pulsa,,tokopedia
7,80.000,Rp78.800,,im3,Pulsa,,tokopedia
4,90.000,Rp89.100,,im3,Pulsa,,tokopedia
5,100.000,Rp97.350,,im3,Pulsa,,tokopedia
6,115.000,Rp113.500,,im3,Pulsa,,tokopedia
7,125.000,Rp123.500,,im3,Pulsa,,tokopedia
4,150.000,Rp143.850,,im3,Pulsa,,tokopedia
5,200.000,Rp188.000,,im3,Pulsa,,tokopedia
6,250.000,Rp235.100,,im3,Pulsa,,tokopedia
0,5.000,Rp5.890,,xl,Pulsa,,tokopedia
1,10.000,Rp10.820,,xl,Pulsa,,tokopedia
2,15.000,Rp14.930,,xl,Pulsa,,tokopedia
3,25.000,Rp24.850,,xl,Pulsa,,tokopedia
4,30.000,Rp30.000,,xl,Pulsa,,tokopedia
5,50.000,Rp49.725,,xl,Pulsa,,tokopedia
5,100.000,Rp99.400,,xl,Pulsa,,tokopedia
6,150.000,Rp149.550,,xl,Pulsa,,tokopedia
7,200.000,Rp199.000,,xl,Pulsa,,tokopedia
8,300.000,Rp298.250,,xl,Pulsa,,tokopedia
6,500.000,Rp498.000,,xl,Pulsa,,tokopedia
7,1.000.000,Rp995.000,,xl,Pulsa,,tokopedia
0,5.000,Rp5.870,,axis,Pulsa,,tokopedia
2,10.000,Rp10.825,,axis,Pulsa,,tokopedia
4,15.000,Rp15.000,,axis,Pulsa,,tokopedia
5,25.000,Rp24.900,,axis,Pulsa,,tokopedia
4,30.000,Rp29.900,,axis,Pulsa,,tokopedia
5,50.000,Rp49.730,,axis,Pulsa,,tokopedia
6,100.000,Rp99.350,,axis,Pulsa,,tokopedia
7,200.000,Rp199.000,,axis,Pulsa,,tokopedia
8,300.000,Rp298.750,,axis,Pulsa,,tokopedia
6,500.000,Rp498.700,,axis,Pulsa,,tokopedia
7,1.000.000,Rp995.000,,axis,Pulsa,,tokopedia
0,1.000,Rp1.350,,3,Pulsa,,tokopedia
1,2.000,Rp2.325,,3,Pulsa,,tokopedia
2,3.000,Rp3.300,,3,Pulsa,,tokopedia
3,5.000,Rp5.550,,3,Pulsa,,tokopedia
4,8.000,Rp8.500,,3,Pulsa,,tokopedia
5,10.000,Rp10.450,,3,Pulsa,,tokopedia
4,15.000,Rp14.950,,3,Pulsa,,tokopedia
5,20.000,Rp19.830,,3,Pulsa,,tokopedia
6,25.000,Rp24.700,,3,Pulsa,,tokopedia
7,30.000,Rp29.850,,3,Pulsa,,tokopedia
8,40.000,Rp39.950,,3,Pulsa,,tokopedia
4,50.000,Rp49.400,,3,Pulsa,,tokopedia
5,60.000,Rp59.950,,3,Pulsa,,tokopedia
6,70.000,Rp69.450,,3,Pulsa,,tokopedia
7,75.000,Rp74.500,,3,Pulsa,,tokopedia
3,80.000,Rp79.900,,3,Pulsa,,tokopedia
4,90.000,Rp89.950,,3,Pulsa,,tokopedia
5,100.000,Rp98.800,,3,Pulsa,,tokopedia
6,125.000,Rp124.000,,3,Pulsa,,tokopedia
7,150.000,Rp147.520,,3,Pulsa,,tokopedia
8,200.000,Rp197.000,,3,Pulsa,,tokopedia
5,250.000,Rp246.000,,3,Pulsa,,tokopedia
6,300.000,Rp297.200,,3,Pulsa,,tokopedia
7,500.000,Rp495.000,,3,Pulsa,,tokopedia
0,Data 1GB,Rp22.400,Rp16.000,telkomsel,Paket Data,,tokopedia
2,Data 2GB,Rp44.800,Rp34.000,telkomsel,Paket Data,,tokopedia
4,Data 3GB,Rp50.500,Rp49.000,telkomsel,Paket Data,,tokopedia
6,Data Hingga 12GB (Zona),Rp111.000,Rp110.000,telkomsel,Paket Data,,tokopedia
8,Flash 1GB,Rp22.300,Rp19.000,telkomsel,Paket Data,,tokopedia
10,Flash 2GB,Rp45.000,Rp31.000,telkomsel,Paket Data,,tokopedia
12,Flash 3GB,Rp45.950,Rp44.800,telkomsel,Paket Data,,tokopedia
14,Flash 4GB,Rp60.950,Rp58.100,telkomsel,Paket Data,,tokopedia
12,Flash 5GB,Rp75.950,Rp72.350,telkomsel,Paket Data,,tokopedia
14,Paket Bicara Sesama Telkomsel 7 Hari,Rp39.800,Rp39.700,telkomsel,Paket Data,,tokopedia
2,Freedom Internet 16GB / 30 Hari + Bonus Kuota Zona Hingga 14GB,Rp70.000,Rp66.000,im3,Paket Data,,tokopedia
4,Freedom Internet 25GB / 30 Hari + Bonus Kuota Zona Hingga 20GB,Rp93.900,Rp86.900,im3,Paket Data,,tokopedia
6,Freedom Internet 50GB / 30 Hari,Rp132.000,Rp118.000,im3,Paket Data,,tokopedia
8,Freedom Internet 70GB / 30 Hari,Rp167.950,Rp137.500,im3,Paket Data,,tokopedia
10,Freedom Combo 6GB / 30 Hari,Rp35.550,Rp33.820,im3,Paket Data,,tokopedia
12,Freedom Combo 20GB / 30 Hari,Rp75.110,Rp75.000,im3,Paket Data,,tokopedia
11,Freedom Internet 2.5GB/5Hr,Rp13.830,Rp12.800,im3,Paket Data,,tokopedia
13,Freedom Internet 5GB/5 Hari,Rp18.750,Rp17.650,im3,Paket Data,,tokopedia
0,Freedom Combo 20GB / 30 Hari,Rp75.110,Rp75.000,im3,Paket Data,,tokopedia
6,Freedom Internet 7GB/7 Hari,Rp23.670,Rp22.600,im3,Paket Data,,tokopedia
8,Freedom Internet 15GB/3hr,Rp29.580,Rp28.900,im3,Paket Data,,tokopedia
